,malta travel,malta holiday,visit malta
2010-01,46,10,13
2010-02,31,11,0
2010-03,42,17,14
2010-04,55,15,57
2010-05,42,11,11
2010-06,39,17,10
2010-07,54,16,0
2010-08,42,13,8
2010-09,32,11,9
2010-10,40,10,11
2010-11,39,13,10
2010-12,35,0,0
2011-01,52,12,5
2011-02,37,9,6
2011-03,37,14,6
2011-04,45,13,10
2011-05,34,9,9
2011-06,47,18,6
2011-07,47,14,9
2011-08,50,13,7
2011-09,32,14,9
2011-10,33,8,3
2011-11,33,10,7
2011-12,20,11,5
2012-01,37,10,7
2012-02,33,9,7
2012-03,40,12,7
2012-04,44,11,12
2012-05,35,11,7
2012-06,37,16,7
2012-07,53,15,10
2012-08,43,16,12
2012-09,40,16,8
2012-10,41,9,9
2012-11,34,9,10
2012-12,28,14,6
2013-01,36,10,8
2013-02,37,12,7
2013-03,35,12,10
2013-04,46,15,11
2013-05,35,13,9
2013-06,32,17,10
2013-07,36,13,9
2013-08,39,17,11
2013-09,35,10,9
2013-10,37,13,8
2013-11,34,11,9
2013-12,24,10,6
2014-01,37,14,9
2014-02,36,10,9
2014-03,29,15,10
2014-04,37,17,13
2014-05,28,14,10
2014-06,33,16,8
2014-07,42,16,14
2014-08,33,19,13
2014-09,38,16,17
2014-10,36,12,11
2014-11,32,10,8
2014-12,23,12,9
2015-01,34,13,7
2015-02,32,15,9
2015-03,31,19,7
2015-04,32,19,13
2015-05,27,15,10
2015-06,35,19,12
2015-07,39,16,13
2015-08,35,19,13
2015-09,34,25,12
2015-10,30,12,12
2015-11,32,13,17
2015-12,22,14,10
2016-01,32,13,9
2016-02,26,15,8
2016-03,26,19,10
2016-04,27,13,9
2016-05,25,12,11
2016-06,28,22,12
2016-07,31,18,12
2016-08,29,14,13
2016-09,30,16,11
2016-10,26,13,9
2016-11,23,13,10
2016-12,21,19,7
2017-01,26,13,10
2017-02,36,14,12
2017-03,31,15,13
2017-04,29,17,11
2017-05,25,15,13
2017-06,30,20,10
2017-07,36,20,16
2017-08,33,14,12
2017-09,30,24,10
2017-10,24,14,12
2017-11,24,16,12
2017-12,22,21,15
2018-01,28,15,13
2018-02,30,18,10
2018-03,30,22,14
2018-04,22,19,14
2018-05,25,12,11
2018-06,26,23,17
2018-07,29,13,14
2018-08,29,18,18
2018-09,29,15,13
2018-10,27,13,14
2018-11,20,14,10
2018-12,16,19,10
2019-01,27,14,15
2019-02,26,13,14
2019-03,24,16,16
2019-04,23,21,14
2019-05,21,15,15
2019-06,27,22,15
2019-07,25,12,17
2019-08,35,16,19
2019-09,28,14,19
2019-10,26,12,19
2019-11,24,12,16
2019-12,20,16,13
2020-01,29,11,17
2020-02,25,13,17
2020-03,32,15,10
2020-04,10,11,5
2020-05,15,7,5
2020-06,24,16,9
2020-07,28,11,12
2020-08,46,17,10
2020-09,34,11,10
2020-10,26,6,9
2020-11,22,10,7
2020-12,23,11,7
2021-01,17,8,5
2021-02,21,17,4
2021-03,19,15,5
2021-04,26,12,6
2021-05,46,11,9
2021-06,64,20,14
2021-07,100,16,15
2021-08,75,17,16
2021-09,76,20,21
2021-10,69,16,16
2021-11,63,9,13
2021-12,65,16,14
2022-01,55,11,10
2022-02,61,17,18
2022-03,60,22,38
2022-04,65,18,53
2022-05,57,17,24
2022-06,48,18,19
2022-07,45,15,22
2022-08,40,16,20
2022-09,38,16,18
2022-10,30,12,14
2022-11,31,11,17
2022-12,22,19,15
2023-01,36,15,18
2023-02,28,16,17
2023-03,37,21,14
2023-04,29,20,19
2023-05,28,16,19
2023-06,31,20,22
2023-07,29,18,21
2023-08,36,21,18
2023-09,30,23,16
2023-10,29,14,18
2023-11,26,14,16
2023-12,26,18,15
2024-01,32,13,12
2024-02,27,14,16
2024-03,24,25,19
2024-04,27,15,19
2024-05,23,16,16
2024-06,30,18,13
2024-07,35,12,16
2024-08,33,14,18
2024-09,29,16,11
2024-10,26,12,19
2024-11,24,10,13
2024-12,27,19,13
2025-01,28,11,14
2025-02,26,18,14
2025-03,29,26,14
2025-04,25,21,18
2025-05,24,12,16
2025-06,21,13,14
2025-07,29,15,16
2025-08,34,20,19
2025-09,22,21,14
2025-10,23,11,15
2025-11,27,15,15
2025-12,33,29,12
